# league	bet_key	matches	ht_matches	avg_ft_goals	avg_ht_goals	goals_0	goals_1	goals_2	goals_3	goals_4_plus	rate_o05_ft	rate_o15_ft	rate_o25_ft	rate_o35_ft	rate_exact_2	rate_exact_3	home_scored_rate	away_scored_rate	btts_rate	home_win_rate	draw_rate	away_win_rate	rate_ht05	rate_ht15	rate_ht_home_lead	rate_ht_draw	rate_ht_away_lead	rate_ht1x_home	goals_score
super league switzerland	HT05	108	108	3.259259	1.481481	4	11	23	31	39	0.962963	0.861111	0.648148	0.361111	0.212963	0.287037	0.861111	0.787037	0.685185	0.407407	0.287037	0.305556	0.777778	0.425926	0.407407	0.379630	0.212963	0.787037	0.855556
2. bundesliga	O15_FT	150	150	2.946667	1.393333	9	18	37	39	47	0.940000	0.820000	0.573333	0.313333	0.246667	0.260000	0.826667	0.726667	0.613333	0.446667	0.253333	0.300000	0.726667	0.380000	0.340000	0.386667	0.273333	0.726667	0.855292
uefa europa league	HT05	112	112	2.812500	1.375000	3	23	27	26	33	0.973214	0.767857	0.526786	0.294643	0.241071	0.232143	0.821429	0.669643	0.517857	0.526786	0.187500	0.285714	0.785714	0.419643	0.392857	0.312500	0.294643	0.705357	0.854464
super league greece	HT05	34	34	2.617647	1.352941	2	5	9	11	7	0.941176	0.794118	0.529412	0.205882	0.264706	0.323529	0.705882	0.676471	0.441176	0.411765	0.176471	0.411765	0.794118	0.411765	0.294118	0.382353	0.323529	0.676471	0.854412
bundesliga	HT05	169	169	3.201183	1.414201	5	22	35	42	65	0.970414	0.840237	0.633136	0.384615	0.207101	0.248521	0.852071	0.745562	0.627219	0.443787	0.248521	0.307692	0.769231	0.402367	0.372781	0.384615	0.242604	0.757396	0.850000
fa cup	HT05	62	62	3.548387	1.338710	1	12	6	13	30	0.983871	0.790323	0.693548	0.483871	0.096774	0.209677	0.822581	0.790323	0.629032	0.451613	0.145161	0.403226	0.790323	0.338710	0.500000	0.241935	0.258065	0.741935	0.848387
2. bundesliga	TEAM1_SCORE_FT	150	150	2.946667	1.393333	9	18	37	39	47	0.940000	0.820000	0.573333	0.313333	0.246667	0.260000	0.826667	0.726667	0.613333	0.446667	0.253333	0.300000	0.726667	0.380000	0.340000	0.386667	0.273333	0.726667	0.841625
coupe de france	TEAM2_SCORE_FT	76	76	3.223684	1.381579	7	8	16	13	32	0.907895	0.802632	0.592105	0.421053	0.210526	0.171053	0.644737	0.763158	0.500000	0.276316	0.263158	0.460526	0.723684	0.368421	0.223684	0.407895	0.368421	0.631579	0.841447
ekstraklasa	O15_FT	40	40	2.775000	1.200000	3	4	10	12	11	0.925000	0.825000	0.575000	0.275000	0.250000	0.300000	0.825000	0.725000	0.625000	0.425000	0.250000	0.325000	0.675000	0.375000	0.300000	0.425000	0.275000	0.725000	0.839766
club friendly games	O15_FT	16	16	3.250000	1.500000	3	1	4	0	8	0.812500	0.750000	0.500000	0.500000	0.250000	0.000000	0.750000	0.687500	0.625000	0.375000	0.375000	0.250000	0.687500	0.375000	0.250000	0.375000	0.375000	0.625000	0.837500
schweizer cup	TEAM2_SCORE_FT	6	6	3.333333	1.166667	0	0	2	3	1	1.000000	1.000000	0.666667	0.166667	0.333333	0.500000	0.833333	0.833333	0.666667	0.666667	0.000000	0.333333	0.833333	0.333333	0.333333	0.333333	0.333333	0.666667	0.837500
premiership	TEAM1_SCORE_FT	117	117	2.863248	1.282051	8	20	27	22	40	0.931624	0.760684	0.529915	0.341880	0.230769	0.188034	0.820513	0.641026	0.529915	0.504274	0.213675	0.282051	0.760684	0.350427	0.427350	0.350427	0.222222	0.777778	0.835924
uefa champions league	HT05	94	94	3.595745	1.563830	4	6	21	22	41	0.957447	0.893617	0.670213	0.436170	0.223404	0.234043	0.819149	0.712766	0.574468	0.521277	0.127660	0.351064	0.744681	0.500000	0.382979	0.404255	0.212766	0.787234	0.834043
schweizer cup	HT05	6	6	3.333333	1.166667	0	0	2	3	1	1.000000	1.000000	0.666667	0.166667	0.333333	0.500000	0.833333	0.833333	0.666667	0.666667	0.000000	0.333333	0.833333	0.333333	0.333333	0.333333	0.333333	0.666667	0.833333
superligaen	O15_FT	95	95	2.842105	1.126316	4	15	22	25	29	0.957895	0.800000	0.568421	0.305263	0.231579	0.263158	0.789474	0.747368	0.578947	0.421053	0.231579	0.347368	0.673684	0.315789	0.252632	0.442105	0.305263	0.694737	0.830855
uefa europa league	TEAM1_SCORE_FT	112	112	2.812500	1.375000	3	23	27	26	33	0.973214	0.767857	0.526786	0.294643	0.241071	0.232143	0.821429	0.669643	0.517857	0.526786	0.187500	0.285714	0.785714	0.419643	0.392857	0.312500	0.294643	0.705357	0.830050
laliga	TEAM1_SCORE_FT	182	182	2.807692	1.175824	5	32	48	47	50	0.972527	0.796703	0.532967	0.274725	0.263736	0.258242	0.824176	0.769231	0.620879	0.489011	0.247253	0.263736	0.697802	0.335165	0.357143	0.423077	0.219780	0.780220	0.828039
saudi arabia	O15_FT	191	191	2.890052	1.293194	8	33	47	38	65	0.958115	0.785340	0.539267	0.340314	0.246073	0.198953	0.801047	0.712042	0.554974	0.465969	0.230366	0.303665	0.753927	0.371728	0.319372	0.403141	0.277487	0.722513	0.826571
league cup	O15_FT	5	5	2.800000	0.800000	0	1	2	0	2	1.000000	0.800000	0.400000	0.400000	0.400000	0.000000	0.600000	0.800000	0.400000	0.400000	0.000000	0.600000	0.400000	0.200000	0.200000	0.600000	0.200000	0.800000	0.826250
ekstraklasa	TEAM1_SCORE_FT	40	40	2.775000	1.200000	3	4	10	12	11	0.925000	0.825000	0.575000	0.275000	0.250000	0.300000	0.825000	0.725000	0.625000	0.425000	0.250000	0.325000	0.675000	0.375000	0.300000	0.425000	0.275000	0.725000	0.825078
laliga	O15_FT	182	182	2.807692	1.175824	5	32	48	47	50	0.972527	0.796703	0.532967	0.274725	0.263736	0.258242	0.824176	0.769231	0.620879	0.489011	0.247253	0.263736	0.697802	0.335165	0.357143	0.423077	0.219780	0.780220	0.824948
hnl croatia	HT05	25	25	2.760000	1.320000	2	4	5	5	9	0.920000	0.760000	0.560000	0.360000	0.200000	0.200000	0.840000	0.760000	0.680000	0.360000	0.360000	0.280000	0.760000	0.440000	0.240000	0.440000	0.320000	0.680000	0.824000
mls	HT05	155	155	3.090323	1.406452	13	28	18	35	61	0.916129	0.735484	0.619355	0.393548	0.116129	0.225806	0.800000	0.664516	0.548387	0.509677	0.212903	0.277419	0.729032	0.387097	0.406452	0.361290	0.232258	0.767742	0.823871
hnl croatia	TEAM1_SCORE_FT	25	25	2.760000	1.320000	2	4	5	5	9	0.920000	0.760000	0.560000	0.360000	0.200000	0.200000	0.840000	0.760000	0.680000	0.360000	0.360000	0.280000	0.760000	0.440000	0.240000	0.440000	0.320000	0.680000	0.823375
copa del rey	TEAM2_SCORE_FT	17	17	3.235294	1.705882	0	3	3	4	7	1.000000	0.823529	0.647059	0.411765	0.176471	0.235294	0.705882	0.764706	0.470588	0.352941	0.117647	0.529412	0.647059	0.529412	0.176471	0.529412	0.294118	0.705882	0.822059
2. bundesliga	HT05	150	150	2.946667	1.393333	9	18	37	39	47	0.940000	0.820000	0.573333	0.313333	0.246667	0.260000	0.826667	0.726667	0.613333	0.446667	0.253333	0.300000	0.726667	0.380000	0.340000	0.386667	0.273333	0.726667	0.820667
fa cup	TEAM2_SCORE_FT	62	62	3.548387	1.338710	1	12	6	13	30	0.983871	0.790323	0.693548	0.483871	0.096774	0.209677	0.822581	0.790323	0.629032	0.451613	0.145161	0.403226	0.790323	0.338710	0.500000	0.241935	0.258065	0.741935	0.819758
club friendly games	TEAM1_SCORE_FT	16	16	3.250000	1.500000	3	1	4	0	8	0.812500	0.750000	0.500000	0.500000	0.250000	0.000000	0.750000	0.687500	0.625000	0.375000	0.375000	0.250000	0.687500	0.375000	0.250000	0.375000	0.375000	0.625000	0.818750
mls	O15_FT	155	155	3.090323	1.406452	13	28	18	35	61	0.916129	0.735484	0.619355	0.393548	0.116129	0.225806	0.800000	0.664516	0.548387	0.509677	0.212903	0.277419	0.729032	0.387097	0.406452	0.361290	0.232258	0.767742	0.816069
coupe de france	HT05	76	76	3.223684	1.381579	7	8	16	13	32	0.907895	0.802632	0.592105	0.421053	0.210526	0.171053	0.644737	0.763158	0.500000	0.276316	0.263158	0.460526	0.723684	0.368421	0.223684	0.407895	0.368421	0.631579	0.815789
liga i romania	TEAM1_SCORE_FT	34	34	2.617647	1.176471	3	4	10	8	9	0.911765	0.794118	0.500000	0.264706	0.294118	0.235294	0.823529	0.705882	0.617647	0.441176	0.323529	0.235294	0.617647	0.411765	0.382353	0.500000	0.117647	0.882353	0.815349
premiership	HT05	117	117	2.863248	1.282051	8	20	27	22	40	0.931624	0.760684	0.529915	0.341880	0.230769	0.188034	0.820513	0.641026	0.529915	0.504274	0.213675	0.282051	0.760684	0.350427	0.427350	0.350427	0.222222	0.777778	0.814957
saudi arabia	HT05	191	191	2.890052	1.293194	8	33	47	38	65	0.958115	0.785340	0.539267	0.340314	0.246073	0.198953	0.801047	0.712042	0.554974	0.465969	0.230366	0.303665	0.753927	0.371728	0.319372	0.403141	0.277487	0.722513	0.813351
saudi arabia	TEAM1_SCORE_FT	191	191	2.890052	1.293194	8	33	47	38	65	0.958115	0.785340	0.539267	0.340314	0.246073	0.198953	0.801047	0.712042	0.554974	0.465969	0.230366	0.303665	0.753927	0.371728	0.319372	0.403141	0.277487	0.722513	0.813089
league cup	TEAM2_SCORE_FT	5	5	2.800000	0.800000	0	1	2	0	2	1.000000	0.800000	0.400000	0.400000	0.400000	0.000000	0.600000	0.800000	0.400000	0.400000	0.000000	0.600000	0.400000	0.200000	0.200000	0.600000	0.200000	0.800000	0.811250
premiership	O15_FT	117	117	2.863248	1.282051	8	20	27	22	40	0.931624	0.760684	0.529915	0.341880	0.230769	0.188034	0.820513	0.641026	0.529915	0.504274	0.213675	0.282051	0.760684	0.350427	0.427350	0.350427	0.222222	0.777778	0.807612
allsvenskan	TEAM1_SCORE_FT	10	10	3.400000	1.600000	1	0	1	4	4	0.900000	0.900000	0.800000	0.400000	0.100000	0.400000	0.700000	0.700000	0.500000	0.400000	0.200000	0.400000	0.800000	0.600000	0.400000	0.200000	0.400000	0.600000	0.807500
super lig	O15_FT	141	141	2.702128	1.127660	12	18	31	40	40	0.914894	0.787234	0.567376	0.283688	0.219858	0.283688	0.780142	0.680851	0.546099	0.432624	0.276596	0.290780	0.673759	0.354610	0.340426	0.453901	0.205674	0.794326	0.807247
liga portugal	TEAM1_SCORE_FT	155	155	2.741935	1.212903	9	28	29	41	48	0.941935	0.761290	0.574194	0.309677	0.187097	0.264516	0.787097	0.645161	0.490323	0.464516	0.251613	0.283871	0.677419	0.348387	0.322581	0.432258	0.245161	0.754839	0.807238
uefa europa league	O15_FT	112	112	2.812500	1.375000	3	23	27	26	33	0.973214	0.767857	0.526786	0.294643	0.241071	0.232143	0.821429	0.669643	0.517857	0.526786	0.187500	0.285714	0.785714	0.419643	0.392857	0.312500	0.294643	0.705357	0.806724
scottish cup	HT05	67	67	3.029851	1.283582	4	5	17	19	22	0.940299	0.865672	0.611940	0.328358	0.253731	0.283582	0.805970	0.626866	0.492537	0.552239	0.149254	0.298507	0.746269	0.373134	0.432836	0.328358	0.238806	0.761194	0.805970
superliga serbia	TEAM1_SCORE_FT	44	44	2.681818	1.272727	6	5	11	7	15	0.863636	0.750000	0.500000	0.340909	0.250000	0.159091	0.818182	0.636364	0.590909	0.409091	0.386364	0.204545	0.681818	0.386364	0.363636	0.477273	0.159091	0.840909	0.804119
liga i romania	O15_FT	34	34	2.617647	1.176471	3	4	10	8	9	0.911765	0.794118	0.500000	0.264706	0.294118	0.235294	0.823529	0.705882	0.617647	0.441176	0.323529	0.235294	0.617647	0.411765	0.382353	0.500000	0.117647	0.882353	0.802482
super league greece	O15_FT	34	34	2.617647	1.352941	2	5	9	11	7	0.941176	0.794118	0.529412	0.205882	0.264706	0.323529	0.705882	0.676471	0.441176	0.411765	0.176471	0.411765	0.794118	0.411765	0.294118	0.382353	0.323529	0.676471	0.802482
super league switzerland	TEAM2_SCORE_FT	108	108	3.259259	1.481481	4	11	23	31	39	0.962963	0.861111	0.648148	0.361111	0.212963	0.287037	0.861111	0.787037	0.685185	0.407407	0.287037	0.305556	0.777778	0.425926	0.407407	0.379630	0.212963	0.787037	0.801620
liga mx	TEAM1_SCORE_FT	167	167	2.730539	1.281437	17	23	34	44	49	0.898204	0.760479	0.556886	0.293413	0.203593	0.263473	0.790419	0.682635	0.574850	0.455090	0.251497	0.293413	0.700599	0.389222	0.419162	0.407186	0.173653	0.826347	0.801347
premier league	O15_FT	194	194	2.721649	1.231959	16	28	45	48	57	0.917526	0.773196	0.541237	0.293814	0.231959	0.247423	0.742268	0.752577	0.577320	0.386598	0.273196	0.340206	0.711340	0.345361	0.335052	0.386598	0.278351	0.721649	0.800258
laliga2	TEAM1_SCORE_FT	225	225	2.711111	1.271111	15	42	53	52	63	0.933333	0.746667	0.511111	0.280000	0.235556	0.231111	0.800000	0.693333	0.560000	0.493333	0.235556	0.271111	0.724444	0.382222	0.324444	0.431111	0.244444	0.755556	0.798750
liga i romania	HT1X_HOME	34	34	2.617647	1.176471	3	4	10	8	9	0.911765	0.794118	0.500000	0.264706	0.294118	0.235294	0.823529	0.705882	0.617647	0.441176	0.323529	0.235294	0.617647	0.411765	0.382353	0.500000	0.117647	0.882353	0.798529
ligue 1	HT05	156	156	2.801282	1.275641	15	25	32	33	51	0.903846	0.743590	0.538462	0.326923	0.205128	0.211538	0.737179	0.679487	0.512821	0.423077	0.256410	0.320513	0.737179	0.358974	0.339744	0.378205	0.282051	0.717949	0.798077
club friendly games	HT05	16	16	3.250000	1.500000	3	1	4	0	8	0.812500	0.750000	0.500000	0.500000	0.250000	0.000000	0.750000	0.687500	0.625000	0.375000	0.375000	0.250000	0.687500	0.375000	0.250000	0.375000	0.375000	0.625000	0.796875
hnl croatia	O15_FT	25	25	2.760000	1.320000	2	4	5	5	9	0.920000	0.760000	0.560000	0.360000	0.200000	0.200000	0.840000	0.760000	0.680000	0.360000	0.360000	0.280000	0.760000	0.440000	0.240000	0.440000	0.320000	0.680000	0.795875
liga portugal	O15_FT	155	155	2.741935	1.212903	9	28	29	41	48	0.941935	0.761290	0.574194	0.309677	0.187097	0.264516	0.787097	0.645161	0.490323	0.464516	0.251613	0.283871	0.677419	0.348387	0.322581	0.432258	0.245161	0.754839	0.794738
liga mx	O15_FT	167	167	2.730539	1.281437	17	23	34	44	49	0.898204	0.760479	0.556886	0.293413	0.203593	0.263473	0.790419	0.682635	0.574850	0.455090	0.251497	0.293413	0.700599	0.389222	0.419162	0.407186	0.173653	0.826347	0.792964
superligaen	TEAM1_SCORE_FT	95	95	2.842105	1.126316	4	15	22	25	29	0.957895	0.800000	0.568421	0.305263	0.231579	0.263158	0.789474	0.747368	0.578947	0.421053	0.231579	0.347368	0.673684	0.315789	0.252632	0.442105	0.305263	0.694737	0.792434
ligue 1	O15_FT	156	156	2.801282	1.275641	15	25	32	33	51	0.903846	0.743590	0.538462	0.326923	0.205128	0.211538	0.737179	0.679487	0.512821	0.423077	0.256410	0.320513	0.737179	0.358974	0.339744	0.378205	0.282051	0.717949	0.789724
laliga2	HT05	225	225	2.711111	1.271111	15	42	53	52	63	0.933333	0.746667	0.511111	0.280000	0.235556	0.231111	0.800000	0.693333	0.560000	0.493333	0.235556	0.271111	0.724444	0.382222	0.324444	0.431111	0.244444	0.755556	0.788667
championship	O15_FT	320	320	2.618750	1.221875	22	51	84	86	77	0.931250	0.771875	0.509375	0.240625	0.262500	0.268750	0.771875	0.718750	0.559375	0.409375	0.250000	0.340625	0.706250	0.371875	0.343750	0.412500	0.243750	0.756250	0.788145
serie b	TEAM1_SCORE_FT	217	217	2.589862	1.156682	15	38	56	52	56	0.930876	0.755760	0.497696	0.258065	0.258065	0.239631	0.797235	0.649770	0.516129	0.465438	0.285714	0.248848	0.714286	0.345622	0.322581	0.442396	0.235023	0.764977	0.787529
laliga2	O15_FT	225	225	2.711111	1.271111	15	42	53	52	63	0.933333	0.746667	0.511111	0.280000	0.235556	0.231111	0.800000	0.693333	0.560000	0.493333	0.235556	0.271111	0.724444	0.382222	0.324444	0.431111	0.244444	0.755556	0.781861
super lig	TEAM1_SCORE_FT	141	141	2.702128	1.127660	12	18	31	40	40	0.914894	0.787234	0.567376	0.283688	0.219858	0.283688	0.780142	0.680851	0.546099	0.432624	0.276596	0.290780	0.673759	0.354610	0.340426	0.453901	0.205674	0.794326	0.780918
superliga serbia	O15_FT	44	44	2.681818	1.272727	6	5	11	7	15	0.863636	0.750000	0.500000	0.340909	0.250000	0.159091	0.818182	0.636364	0.590909	0.409091	0.386364	0.204545	0.681818	0.386364	0.363636	0.477273	0.159091	0.840909	0.780824
primera a colombia	TEAM1_SCORE_FT	176	176	2.386364	1.096591	19	33	48	43	33	0.892045	0.704545	0.431818	0.187500	0.272727	0.244318	0.806818	0.585227	0.500000	0.482955	0.312500	0.204545	0.681818	0.295455	0.380682	0.448864	0.170455	0.829545	0.777770
pro league	O15_FT	148	148	2.648649	1.155405	14	23	38	36	37	0.905405	0.750000	0.493243	0.250000	0.256757	0.243243	0.736486	0.709459	0.540541	0.344595	0.250000	0.405405	0.662162	0.324324	0.277027	0.445946	0.277027	0.722973	0.777196
liga mx	HT05	167	167	2.730539	1.281437	17	23	34	44	49	0.898204	0.760479	0.556886	0.293413	0.203593	0.263473	0.790419	0.682635	0.574850	0.455090	0.251497	0.293413	0.700599	0.389222	0.419162	0.407186	0.173653	0.826347	0.775749
bundesliga	TEAM2_SCORE_FT	169	169	3.201183	1.414201	5	22	35	42	65	0.970414	0.840237	0.633136	0.384615	0.207101	0.248521	0.852071	0.745562	0.627219	0.443787	0.248521	0.307692	0.769231	0.402367	0.372781	0.384615	0.242604	0.757396	0.775592
cymru premier league	O15_FT	91	91	2.648352	1.197802	9	14	24	18	26	0.901099	0.747253	0.483516	0.285714	0.263736	0.197802	0.659341	0.725275	0.483516	0.351648	0.274725	0.373626	0.692308	0.318681	0.285714	0.384615	0.329670	0.670330	0.775378
austrian bundesliga	TEAM1_SCORE_FT	35	35	2.628571	1.085714	3	6	8	6	12	0.914286	0.742857	0.514286	0.342857	0.228571	0.171429	0.800000	0.628571	0.514286	0.400000	0.285714	0.314286	0.600000	0.342857	0.285714	0.428571	0.285714	0.714286	0.774643
serie b	O15_FT	217	217	2.589862	1.156682	15	38	56	52	56	0.930876	0.755760	0.497696	0.258065	0.258065	0.239631	0.797235	0.649770	0.516129	0.465438	0.285714	0.248848	0.714286	0.345622	0.322581	0.442396	0.235023	0.764977	0.774510
